name,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats
Hyundai Grand i10 1.2 Kappa Magna AT,2019,15000,Petrol,Individual,Automatic,First Owner,18.9 kmpl,1197 CC,81.86 bhp,113.75nm@ 4000rpm,5.0
Maruti Swift ZDI BSIV,2017,35000,Diesel,Individual,Manual,Second Owner,25.2 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
Toyota Etios GD,2014,120000,Diesel,Individual,Manual,First Owner,23.59 kmpl,1364 CC,67.04 bhp,170Nm@ 1800-2400rpm,5.0
Hyundai Grand i10 CRDi Sportz,2016,63000,Diesel,Individual,Manual,Third Owner,24.0 kmpl,1120 CC,70 bhp,160Nm@ 1500-2750rpm,5.0
Volkswagen Ameo 1.5 TDI Highline Plus,2019,25000,Diesel,Individual,Manual,First Owner,21.66 kmpl,1498 CC,108.62 bhp,250Nm@ 1500-3000rpm,5.0
Maruti Wagon R LXI BS IV,2011,64500,Petrol,Individual,Manual,First Owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0
Mahindra KUV 100 mFALCON D75 K2 Plus,2016,100000,Diesel,Individual,Manual,Second Owner,25.32 kmpl,1198 CC,77 bhp,190Nm@ 1750-2250rpm,6.0
Hyundai Verna 1.6 CRDi SX,2017,40000,Diesel,Individual,Manual,First Owner,23.9 kmpl,1582 CC,126.2 bhp,259.9Nm@ 1900-2750rpm,5.0
Hyundai i20 1.2 Magna Executive,2017,15000,Petrol,Individual,Manual,Second Owner,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5.0
Toyota Etios Liva GD,2015,25000,Diesel,Individual,Manual,First Owner,23.59 kmpl,1364 CC,67.04 bhp,170Nm@ 1800-2400rpm,5.0
Maruti Ritz LXi,2016,82000,Petrol,Individual,Manual,Third Owner,18.5 kmpl,1197 CC,85.80 bhp,114Nm@ 4000rpm,5.0
Maruti Ertiga VDI,2012,87000,Diesel,Individual,Manual,First Owner,20.77 kmpl,1248 CC,88.76 bhp,200Nm@ 1750rpm,7.0
Maruti Alto K10 VXI,2015,80000,Petrol,Individual,Manual,Second Owner,23.95 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5.0
Renault Duster 110PS Diesel RxZ,2012,110000,Diesel,Individual,Manual,Third Owner,19.01 kmpl,1461 CC,108.45 bhp,248Nm@ 2250rpm,5.0
Tata Manza Aura (ABS) Quadrajet BS IV,2011,148000,Diesel,Individual,Manual,Second Owner,21.12 kmpl,1248 CC,88.8 bhp,200Nm@ 1750-3000rpm,5.0
Mahindra Scorpio S11 BSIV,2018,40000,Diesel,Individual,Manual,First Owner,16.36 kmpl,2179 CC,140 bhp,320Nm@ 1500-2800rpm,7.0
Hyundai Accent Executive,2011,70000,Petrol,Individual,Manual,First Owner,16.36 kmpl,1495 CC,93.7 bhp,124.6Nm@ 3500rpm,5.0
Hyundai Santro Xing GLS LPG,2012,70000,LPG,Individual,Manual,Second Owner,13.45 km/kg,1086 CC,62.1 bhp,96.1Nm@ 3000rpm,5.0
Maruti 800 AC,2008,40000,Petrol,Individual,Manual,Second Owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4.0
Tata Indigo LX,2010,120000,Diesel,Individual,Manual,First Owner,17.0 kmpl,1405 CC,70 bhp,"13.5@ 2,500(kgm@ rpm)",5.0
Ford Fiesta Classic 1.4 Duratorq CLXI,2012,60000,Diesel,Individual,Manual,First Owner,17.8 kmpl,1399 CC,67 bhp,160Nm@ 2000rpm,5.0
Tata Manza Aura (ABS) Quadrajet,2011,90000,Diesel,Dealer,Manual,First Owner,18.8 kmpl,1248 CC,90 bhp,200Nm@ 1750-3000rpm,5.0
Maruti Swift VDI,2014,68000,Diesel,Dealer,Manual,First Owner,22.9 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
Honda Amaze S i-DTEC,2017,24500,Diesel,Dealer,Manual,First Owner,25.8 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5.0
Mahindra XUV500 W8 4WD,2012,77000,Diesel,Dealer,Manual,Second Owner,15.1 kmpl,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7.0
Honda Amaze VX O iDTEC,2015,85000,Diesel,Dealer,Manual,First Owner,25.8 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5.0
Toyota Etios 1.5 V,2011,45500,Petrol,Dealer,Manual,First Owner,16.78 kmpl,1496 CC,88.73 bhp,132Nm@ 3000rpm,5.0
Maruti Swift VDI,2014,67000,Diesel,Dealer,Manual,First Owner,28.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
Maruti Swift VDI,2014,77000,Diesel,Dealer,Manual,First Owner,28.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
Hyundai EON Magna Plus,2016,47000,Petrol,Dealer,Manual,First Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0
Tata Tiago XT,2017,57000,Petrol,Dealer,Manual,First Owner,23.84 kmpl,1199 CC,84.48 bhp,113Nm@ 3300rpm,5.0
Hyundai i20 1.4 Asta Option,2018,71500,Diesel,Dealer,Manual,First Owner,22.54 kmpl,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5.0
Toyota Etios Liva 1.4 GD,2012,110000,Diesel,Dealer,Manual,First Owner,23.59 kmpl,1364 CC,67.04 bhp,170Nm@ 1800-2400rpm,5.0
Maruti Swift Dzire VDI,2013,82000,Diesel,Dealer,Manual,Second Owner,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
Maruti Swift VDI,2013,70000,Diesel,Dealer,Manual,Second Owner,28.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
Maruti Baleno Zeta Diesel,2017,28000,Diesel,Dealer,Manual,First Owner,27.39 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
Skoda Rapid 1.5 TDI Style Plus Black Package,2016,125000,Diesel,Dealer,Manual,Second Owner,21.14 kmpl,1498 CC,103.52 bhp,250Nm@ 1500-2500rpm,5.0
Maruti Swift VDI,2013,67000,Diesel,Dealer,Manual,Second Owner,28.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
Honda City 1.5 V MT,2011,93500,Petrol,Dealer,Manual,Third Owner,17.0 kmpl,1497 CC,118 bhp,146Nm at 4800 rpm,5.0
Maruti Swift VVT VXI,2012,8500,Petrol,Dealer,Manual,First Owner,22.0 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0
Maruti Baleno Zeta 1.3,2016,80000,Diesel,Dealer,Manual,First Owner,27.39 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
Toyota Innova Crysta 2.8 ZX AT BSIV,2016,30000,Diesel,Individual,Automatic,First Owner,11.36 kmpl,2755 CC,171.5 bhp,360Nm@ 1200-3400rpm,7.0
Ford Figo Aspire 1.2 Ti-VCT Trend,2018,14200,Petrol,Individual,Manual,First Owner,18.16 kmpl,1196 CC,86.8 bhp,112Nm@ 4000rpm,5.0
Ford Fiesta 1.4 Duratec EXI Limited Edition,2007,97000,Petrol,Individual,Manual,First Owner,16.6 kmpl,1388 CC,68 bhp,"16.3@ 2,000(kgm@ rpm)",5.0
Tata New Safari DICOR 2.2 VX 4x2,2012,90000,Diesel,Individual,Manual,First Owner,13.93 kmpl,2179 CC,138 bhp,320Nm@ 1700-2700rpm,7.0
Hyundai i20 1.2 Asta Option,2017,30000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5.0
Hyundai i20 Sportz 1.2,2015,50000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5.0
Maruti Alto K10 VXI,2016,30000,Petrol,Individual,Manual,First Owner,23.95 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5.0
Maruti Gypsy King Soft Top MPI BSIV,2017,20000,Petrol,Individual,Manual,First Owner,11.96 kmpl,1298 CC,80 bhp,103Nm@ 4500rpm,8.0
Volkswagen Polo Diesel Highline 1.2L,2012,60300,Diesel,Individual,Manual,First Owner,22.07 kmpl,1199 CC,73.9 bhp,180Nm@ 2000rpm,5.0
Tata Zest Quadrajet 1.3 XM,2015,35000,Diesel,Individual,Manual,First Owner,23.0 kmpl,1248 CC,88.7 bhp,200Nm@ 1750-3000rpm,5.0
Tata Safari DICOR 2.2 EX 4x2,2011,80000,Diesel,Individual,Manual,First Owner,13.93 kmpl,2179 CC,138.03 bhp,320Nm@ 1700-2700rpm,7.0
Hyundai i10 Magna 1.1L,2008,44391,Petrol,Individual,Manual,Second Owner,19.81 kmpl,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5.0
Maruti Baleno Sigma 1.3,2016,58000,Diesel,Individual,Manual,First Owner,27.39 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
Mahindra Bolero 2011-2019 Special Edition,2015,40000,Diesel,Individual,Manual,First Owner,15.96 kmpl,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm,7.0
Maruti Ertiga SHVS ZDI,2017,66000,Diesel,Individual,Manual,Second Owner,24.52 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,7.0
Honda City i DTec SV,2016,110000,Diesel,Individual,Manual,First Owner,26.0 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5.0
Chevrolet Beat Diesel,2013,56315,Diesel,Individual,Manual,First Owner,25.44 kmpl,936 CC,57.6 bhp,150Nm@ 1750rpm,5.0
Mahindra Bolero Power Plus SLE,2017,70000,Diesel,Individual,Manual,First Owner,16.5 kmpl,1493 CC,70 bhp,195Nm@ 1400-2200rpm,7.0
Toyota Etios Liva GD,2013,120000,Diesel,Individual,Manual,First Owner,23.59 kmpl,1364 CC,67.06 bhp,170Nm@ 1800-2400rpm,5.0
Chevrolet Tavera LS B3 10 Seats BSII,2006,100000,Diesel,Individual,Manual,First Owner,14.8 kmpl,2499 CC,80 bhp,"19@ 1,800(kgm@ rpm)",10.0
Tata Zest Quadrajet 1.3 XM,2015,90000,Diesel,Individual,Manual,Second Owner,23.0 kmpl,1248 CC,88.7 bhp,200Nm@ 1750-3000rpm,5.0
Maruti Wagon R LXI DUO BSIII,2006,120000,LPG,Individual,Manual,Third Owner,17.3 km/kg,1061 CC,57.5 bhp,"7.8@ 4,500(kgm@ rpm)",5.0
Maruti Zen Estilo LXI BSIII,2007,160000,Petrol,Individual,Manual,Fourth & Above Owner,18.2 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0
Maruti Swift Dzire VDi,2009,120000,Diesel,Individual,Manual,Third Owner,19.3 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5.0
Tata Indica Vista Terra Quadrajet 1.3L,2010,100000,Diesel,Individual,Manual,Second Owner,18.0 kmpl,1248 CC,75 bhp,190Nm@ 1750rpm,5.0
Maruti Wagon R VXI Minor,2007,70000,Petrol,Individual,Manual,Third Owner,18.9 kmpl,1061 CC,67 bhp,84Nm@ 3500rpm,5.0
Hyundai EON Era Plus,2017,15151,Petrol,Individual,Manual,Second Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0
Mahindra Scorpio 1.99 S6 Plus,2015,60000,Diesel,Individual,Manual,First Owner,15.4 kmpl,1997 CC,120 bhp,280Nm@ 1800-2800rpm,7.0
Hyundai i10 Era,2011,100000,Petrol,Individual,Manual,First Owner,19.81 kmpl,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5.0
Maruti Wagon R LXI,2006,110000,Petrol,Individual,Manual,Fourth & Above Owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0
Hyundai Grand i10 1.2 Kappa Magna AT,2019,7000,Petrol,Individual,Automatic,First Owner,18.9 kmpl,1197 CC,81.86 bhp,113.75nm@ 4000rpm,5.0
Maruti Wagon R LXI,2005,35000,Petrol,Individual,Manual,First Owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0
Maruti Swift Dzire VDI,2016,60000,Diesel,Individual,Manual,Second Owner,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
Hyundai i10 Magna,2010,70000,Petrol,Individual,Manual,Fourth & Above Owner,20.36 kmpl,1197 CC,78.9 bhp,111.7Nm@ 4000rpm,5.0
Renault KWID RXT,2016,30000,Petrol,Individual,Manual,First Owner,25.17 kmpl,799 CC,53.3 bhp,72Nm@ 4386rpm,5.0
Hyundai Grand i10 Sportz,2015,128000,Petrol,Individual,Manual,First Owner,18.9 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5.0
Maruti Swift VDI BSIV,2011,160000,Diesel,Individual,Manual,Second Owner,25.2 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
Toyota Innova 2.5 GX 8 STR,2012,120000,Diesel,Individual,Manual,Second Owner,12.8 kmpl,2494 CC,102 bhp,20.4@ 1400-3400(kgm@ rpm),8.0
Maruti Swift VDI BSIV,2014,15000,Diesel,Individual,Manual,First Owner,25.2 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
Maruti Swift Dzire VDI,2017,60000,Diesel,Individual,Manual,First Owner,28.4 kmpl,1248 CC,74.02 bhp,190Nm@ 2000rpm,5.0
Honda Brio Exclusive Edition,2013,80000,Petrol,Individual,Manual,First Owner,19.4 kmpl,1198 CC,86.8 bhp,109Nm@ 4500rpm,5.0
Maruti Swift Dzire VDI Optional,2016,80000,Diesel,Individual,Manual,First Owner,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
Ford Fiesta 1.4 Duratorq ZXI,2006,114321,Diesel,Individual,Manual,Second Owner,17.8 kmpl,1399 CC,68 bhp,"16.3@ 2,000(kgm@ rpm)",5.0
Tata Indica Vista TDI LX,2013,120000,Diesel,Individual,Manual,First Owner,19.4 kmpl,1405 CC,70 bhp,135.4Nm@ 2500rpm,5.0
Mahindra Scorpio VLX 2WD AIRBAG AT BSIV,2012,120000,Diesel,Individual,Manual,Second Owner,12.05 kmpl,2179 CC,120 bhp,290Nm@ 1800-2800rpm,8.0
Toyota Etios Liva GD,2014,146000,Diesel,Individual,Manual,First Owner,23.59 kmpl,1364 CC,67.06 bhp,170Nm@ 1800-2400rpm,5.0
Hyundai i10 Magna LPG,2012,30000,LPG,Individual,Manual,First Owner,19.2 km/kg,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5.0
Hyundai EON D Lite Plus,2017,20000,Petrol,Individual,Manual,First Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0
Toyota Platinum Etios 1.4 GD,2017,150000,Diesel,Individual,Manual,First Owner,23.59 kmpl,1364 CC,67.05 bhp,170Nm@ 1800-2400rpm,5.0
Maruti Eeco CNG 5 Seater AC BSIV,2014,70000,CNG,Individual,Manual,Second Owner,21.94 km/kg,1196 CC,61.7 bhp,85Nm@ 3000rpm,5.0
Hyundai Elantra SX,2013,90000,Petrol,Individual,Manual,Second Owner,16.3 kmpl,1797 CC,147.5 bhp,177.5Nm@ 4700rpm,5.0
Honda City 1.5 V MT,2010,100000,Petrol,Individual,Manual,Third Owner,17.0 kmpl,1497 CC,118 bhp,146Nm at 4800 rpm,5.0
Maruti Wagon R LXI,2005,188000,Petrol,Individual,Manual,Fourth & Above Owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0
Hyundai i10 Sportz 1.1L,2008,100000,Petrol,Individual,Manual,Third Owner,19.81 kmpl,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5.0
Lexus ES 300h,2019,20000,Petrol,Dealer,Automatic,First Owner,22.37 kmpl,2487 CC,214.56 bhp,202Nm@ 3600-5200rpm,5.0
Jaguar XF 2.0 Diesel Portfolio,2017,45000,Diesel,Dealer,Automatic,First Owner,19.33 kmpl,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5.0
Tata Safari Storme EX,2015,110000,Diesel,Individual,Manual,First Owner,14.1 kmpl,2179 CC,147.94 bhp,320Nm@ 1500-3000rpm,7.0
Toyota Camry 2.5 Hybrid,2016,68089,Petrol,Trustmark Dealer,Automatic,First Owner,19.16 kmpl,2494 CC,157.7 bhp,213Nm@ 4500rpm,5.0
Maruti Wagon R LXI,2013,58343,Petrol,Trustmark Dealer,Manual,First Owner,21.79 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5.0
Maruti Baleno Alpha 1.3,2018,38817,Diesel,Dealer,Manual,First Owner,27.39 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
Honda Jazz VX,2016,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2 kmpl,1199 CC,88.7 bhp,110Nm@ 4800rpm,5.0
Toyota Innova 2.5 VX (Diesel) 7 Seater,2013,79328,Diesel,Trustmark Dealer,Manual,Second Owner,12.99 kmpl,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,7.0
Maruti Swift AMT VVT VXI,2019,5621,Petrol,Trustmark Dealer,Automatic,First Owner,22.0 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0
Toyota Etios VX,2017,25538,Petrol,Trustmark Dealer,Manual,First Owner,16.78 kmpl,1496 CC,88.73 bhp,132Nm@ 3000rpm,5.0
Maruti Swift AMT ZXI,2018,69779,Petrol,Dealer,Automatic,First Owner,22.0 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0
Hyundai Grand i10 1.2 CRDi Sportz,2017,56290,Diesel,Dealer,Manual,First Owner,24.0 kmpl,1186 CC,73.97 bhp,190.24nm@ 1750-2250rpm,5.0
BMW X4 M Sport X xDrive20d,2019,7500,Diesel,Dealer,Automatic,First Owner,16.78 kmpl,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5.0
BMW X4 M Sport X xDrive20d,2019,8500,Diesel,Dealer,Automatic,First Owner,16.78 kmpl,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5.0
Honda Amaze V CVT Petrol BSIV,2019,7032,Petrol,Trustmark Dealer,Automatic,First Owner,19.0 kmpl,1199 CC,88.76 bhp,110Nm@ 4800rpm,5.0
Skoda Rapid 1.6 MPI AT Elegance,2016,11000,Petrol,Dealer,Automatic,First Owner,14.3 kmpl,1598 CC,103.5 bhp,153Nm@ 3800rpm,5.0
Volvo V40 D3 R-Design,2018,2000,Diesel,Dealer,Automatic,First Owner,16.8 kmpl,1984 CC,150 bhp,350Nm@ 1500-2750rpm,5.0
Hyundai i20 1.2 Asta,2017,37333,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5.0
Maruti Ertiga VDI,2014,15000,Diesel,Individual,Manual,Second Owner,20.77 kmpl,1248 CC,88.76 bhp,200Nm@ 1750rpm,7.0
Hyundai Sonata 2.4 GDi MT,2012,330000,Petrol,Individual,Manual,Second Owner,13.44 kmpl,2359 CC,198.25 bhp,250Nm@ 4250rpm,5.0
Maruti Wagon R LXI CNG,2017,60000,CNG,Individual,Manual,First Owner,26.6 km/kg,998 CC,58.16 bhp,77Nm@ 3500rpm,5.0
Toyota Etios GD,2016,80000,Diesel,Individual,Manual,Second Owner,23.59 kmpl,1364 CC,67.05 bhp,170Nm@ 1800-2400rpm,5.0
Toyota Innova 2.5 G (Diesel) 7 Seater,2015,110000,Diesel,Individual,Manual,First Owner,12.99 kmpl,2494 CC,100.6 bhp,200Nm@ 1400-3400rpm,7.0
Maruti Swift VDI BSIV,2010,134000,Diesel,Individual,Manual,Second Owner,25.2 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
Maruti Alto LX,2011,72000,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2006,140000,Diesel,Individual,Manual,Second Owner,12.8 kmpl,2494 CC,102 bhp,20.4@ 1400-3400(kgm@ rpm),8.0
Maruti Ritz LXi,2015,80000,Petrol,Individual,Manual,Second Owner,18.5 kmpl,1197 CC,85.80 bhp,114Nm@ 4000rpm,5.0
Maruti Swift Dzire VDi,2010,120000,Diesel,Individual,Manual,Second Owner,19.3 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5.0
Toyota Innova 2.5 G (Diesel) 8 Seater,2015,90000,Diesel,Individual,Manual,Second Owner,12.99 kmpl,2494 CC,100.6 bhp,200Nm@ 1400-3400rpm,8.0
Renault Duster 85PS Diesel RxL Optional,2012,100000,Diesel,Individual,Manual,Second Owner,20.46 kmpl,1461 CC,83.8 bhp,200Nm@ 1900rpm,5.0
Maruti Swift Dzire LXi,2009,90000,Petrol,Individual,Manual,Third Owner,17.5 kmpl,1298 CC,85.8 bhp,114Nm@ 4000rpm,5.0
Honda Amaze VX i-DTEC,2013,140000,Diesel,Individual,Manual,Third Owner,25.8 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5.0
Chevrolet Spark 1.0 LS,2010,120000,Petrol,Individual,Manual,First Owner,18.0 kmpl,995 CC,62 bhp,90.3Nm@ 4200rpm,5.0
Maruti Vitara Brezza VDi AMT,2019,35000,Diesel,Individual,Automatic,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0
Maruti Alto K10 VXI,2014,50000,Petrol,Individual,Manual,Second Owner,23.95 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5.0
Hyundai Verna 1.4 CRDi,2017,82000,Diesel,Individual,Manual,First Owner,24.8 kmpl,1396 CC,88.7 bhp,219.7Nm@ 1750-2750rpm,5.0
Maruti Swift VDI BSIV,2014,70000,Diesel,Individual,Manual,Third Owner,25.2 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
Maruti Ritz LXi,2016,90000,Petrol,Individual,Manual,First Owner,18.5 kmpl,1197 CC,85.80 bhp,114Nm@ 4000rpm,5.0
Toyota Fortuner 4x2 AT,2015,60000,Diesel,Individual,Automatic,First Owner,12.55 kmpl,2982 CC,168.5 bhp,360Nm@ 1400-3200rpm,7.0
Skoda Octavia Ambition 2.0 TDI MT,2014,79000,Diesel,Individual,Manual,Second Owner,20.6 kmpl,1968 CC,141 bhp,320Nm@ 1750-3000rpm,5.0
Toyota Innova 2.5 V Diesel 7-seater,2011,291000,Diesel,Individual,Manual,Second Owner,12.8 kmpl,2494 CC,102 bhp,20.4@ 1400-3400(kgm@ rpm),7.0
Toyota Innova 2.5 V Diesel 7-seater,2010,250000,Diesel,Individual,Manual,Second Owner,12.8 kmpl,2494 CC,102 bhp,20.4@ 1400-3400(kgm@ rpm),7.0
Mahindra Bolero 2011-2019 Plus Non AC BSIV PS,2018,20000,Diesel,Individual,Manual,First Owner,15.96 kmpl,2523 CC,63 bhp,180Nm@ 1440-1500rpm,9.0
Maruti Ciaz ZDi Plus SHVS,2017,53000,Diesel,Individual,Manual,First Owner,28.09 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0
Tata Tiago 1.05 Revotorq XZ WO Alloy,2017,89000,Diesel,Individual,Manual,First Owner,27.28 kmpl,1047 CC,69 bhp,140Nm@ 1800-3000rpm,5.0
Maruti Swift Dzire VXI,2013,35000,Petrol,Individual,Manual,Second Owner,19.1 kmpl,1197 CC,85.8 bhp,114Nm@ 4000rpm,5.0
Maruti Zen Estilo LXI BS IV,2013,43000,Petrol,Individual,Manual,Second Owner,19.0 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0
Hyundai Santro Xing GLS,2009,80000,Petrol,Individual,Manual,Second Owner,17.92 kmpl,1086 CC,62.1 bhp,96.1Nm@ 3000rpm,5.0
Hyundai Santro Xing XS,2007,80000,Petrol,Individual,Manual,Second Owner,17.8 kmpl,1086 CC,63 bhp,"9.8@ 3,000(kgm@ rpm)",5.0
Hyundai i20 Asta 1.4 CRDi,2014,110000,Diesel,Individual,Manual,First Owner,22.54 kmpl,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5.0
Hyundai EON Era,2012,100000,Petrol,Individual,Manual,First Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0
Hyundai EON Sportz,2018,25000,Petrol,Individual,Manual,First Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0
Ford EcoSport S Diesel BSIV,2019,20000,Diesel,Individual,Manual,First Owner,23.0 kmpl,1498 CC,98.96 bhp,205Nm@ 1750-3250rpm,5.0
Tata Zest Quadrajet 1.3 75PS XE,2017,70000,Diesel,Individual,Manual,First Owner,22.95 kmpl,1248 CC,74 bhp,190Nm@ 1750-3000rpm,5.0
Toyota Innova 2.5 V Diesel 7-seater,2011,197000,Diesel,Individual,Manual,First Owner,12.8 kmpl,2494 CC,102 bhp,20.4@ 1400-3400(kgm@ rpm),7.0
Maruti Wagon R LXI BSIII,2006,100000,Petrol,Individual,Manual,Second Owner,14.0 kmpl,1061 CC,64 bhp,"8.6@ 3,500(kgm@ rpm)",5.0
Maruti 800 Std,1995,70000,Petrol,Individual,Manual,First Owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4.0
Mahindra XUV500 W10 2WD,2015,140000,Diesel,Individual,Manual,First Owner,16.0 kmpl,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7.0
Maruti Alto LXi BSIII,2009,50000,Petrol,Individual,Manual,First Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0
Tata Tiago 1.2 Revotron XZ,2017,40300,Petrol,Individual,Manual,First Owner,23.84 kmpl,1199 CC,84 bhp,114Nm@ 3500rpm,5.0
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2010,120000,Diesel,Individual,Manual,Second Owner,12.8 kmpl,2494 CC,102 bhp,20.4@ 1400-3400(kgm@ rpm),8.0
Maruti Celerio VXI,2016,25000,Petrol,Individual,Manual,Second Owner,23.1 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0
Maruti Wagon R LXI Minor,2010,155000,Petrol,Individual,Manual,Third Owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0
Honda Jazz 1.2 V AT i VTEC,2015,50000,Petrol,Individual,Automatic,First Owner,19.0 kmpl,1199 CC,88.7 bhp,110Nm@ 4800rpm,5.0
Hyundai i20 Asta Option 1.2,2017,30030,Petrol,Dealer,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5.0
Hyundai Xcent 1.2 Kappa SX Option,2017,29029,Petrol,Dealer,Manual,First Owner,19.1 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5.0
Maruti Ritz VDi,2012,72072,Diesel,Dealer,Manual,First Owner,21.1 kmpl,1248 CC,73.9 bhp,113Nm@ 4500rpm,5.0
Ford Figo Diesel EXI,2012,54000,Diesel,Individual,Manual,First Owner,20.0 kmpl,1399 CC,68 bhp,160Nm@ 2000rpm,5.0
Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,2012,82082,Diesel,Dealer,Manual,First Owner,22.54 kmpl,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5.0
Mahindra XUV500 W8 2WD,2016,48000,Diesel,Individual,Manual,Second Owner,16.0 kmpl,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7.0
Maruti Ertiga BSIV ZXI Plus,2016,20000,Petrol,Individual,Manual,First Owner,17.5 kmpl,1373 CC,91.1 bhp,130Nm@ 4000rpm,7.0
Hyundai Verna CRDi 1.6 AT SX Option,2018,49000,Diesel,Individual,Automatic,First Owner,22.0 kmpl,1582 CC,126.2 bhp,259.87nm@ 1500-3000rpm,5.0
